segment,x,y,index
convergent_arc,-36.598684293082975,45.63672543251609,40
convergent_arc,-36.66907844549336,45.671962229292824,41
convergent_arc,-36.739749924368404,45.70663946410583,42
convergent_arc,-36.8106942818464,45.74075495446866,43
convergent_arc,-36.88190705289144,45.774306553249474,44
convergent_arc,-36.953383755574436,45.807292148806155,45
convergent_arc,-37.02511989135519,45.8397096651192,46
convergent_arc,-37.09711094536553,45.871557061922445,47
convergent_arc,-37.16935238669345,45.90283233483136,48
convergent_arc,-37.24183966866827,45.93353351546932,49
convergent_arc,-37.314568229146815,45.96365867159141,50
convergent_arc,-37.38753349080053,45.993205907206054,51
convergent_arc,-37.46073086140355,46.02217336269435,52
convergent_arc,-37.534155734121725,46.05055921492712,53
convergent_arc,-37.607803487802606,46.07836167737963,54
convergent_arc,-37.681669487266205,46.10557900024403,55
convergent_arc,-37.755749083596804,46.1322094705395,56
convergent_arc,-37.83003761443548,46.15825141222005,57
convergent_arc,-37.904530404273586,46.18370318627999,58
convergent_arc,-37.97922276474697,46.208563190857134,59
convergent_arc,-38.0541099949311,46.232829861333556,60
convergent_arc,-38.12918738163688,46.25650167043409,61
convergent_arc,-38.204450199707324,46.27957712832246,62
convergent_arc,-38.2798937123149,46.30205478269503,63
convergent_arc,-38.35551317125969,46.32393321887223,64
convergent_arc,-38.43130381726821,46.34521105988755,65
convergent_arc,-38.50726088029295,46.36588696657427,66
convergent_arc,-38.583379579812586,46.38595963764967,67
convergent_arc,-38.65965512513286,46.40542780979696,68
convergent_arc,-38.73608271568808,46.42429025774483,69
convergent_arc,-38.812657541343256,46.44254579434448,70
convergent_arc,-38.88937478269684,46.46019327064442,71
convergent_arc,-38.96622961138407,46.47723157596272,72
convergent_arc,-39.04321719038079,46.49365963795694,73
convergent_arc,-39.12033267430794,46.50947642269163,74
convergent_arc,-39.19757120973648,46.524680934703376,75
convergent_arc,-39.27492793549287,46.53927221706349,76
convergent_arc,-39.352397982965,46.55324935143818,77
convergent_arc,-39.429976476408605,46.56661145814641,78
convergent_arc,-39.50765853325416,46.57935769621522,79
convergent_arc,-39.58543926441413,46.59148726343266,80
convergent_arc,-39.66331377459072,46.6029993963983,81
convergent_arc,-39.741277162583934,46.613893370571276,82
convergent_arc,-39.81932452160007,46.624168500315854,83
convergent_arc,-39.897450939560535,46.63382413894462,84
convergent_arc,-39.97565149941097,46.64285967875915,85
convergent_arc,-40.05392127943076,46.65127455108832,86
convergent_arc,-40.132255353542746,46.659068226323996,87
convergent_arc,-40.21064879162331,46.66624021395445,88
convergent_arc,-40.28909665981261,46.672790062595205,89
convergent_arc,-40.36759402082513,46.67871736001742,90
convergent_arc,-40.44613593426044,46.684021733173886,91
convergent_arc,-40.524717456914075,46.688702848222434,92
convergent_arc,-40.60333364308871,46.692760410547024,93
convergent_arc,-40.68197954490536,46.69619416477623,94
convergent_arc,-40.76065021261487,46.69900389479933,95
convergent_arc,-40.839340694909346,46.70118942377993,96
convergent_arc,-40.918046039233836,46.702750614167044,97
convergent_arc,-40.99676129209803,46.70368736770379,98
convergent_arc,-41.075481499387976,46.70399962543358,99
convergent_diagonal,-27.27752796774755,37.016222032252436,0
convergent_diagonal,-27.34602740527509,37.08472146977998,1
convergent_diagonal,-27.414526842802637,37.15322090730752,2
convergent_diagonal,-27.48302628033018,37.22172034483506,3
convergent_diagonal,-27.55152571785772,37.290219782362605,4
convergent_diagonal,-27.620025155385267,37.358719219890155,5
convergent_diagonal,-27.68852459291281,37.4272186574177,6
convergent_diagonal,-27.757024030440352,37.49571809494524,7
convergent_diagonal,-27.825523467967898,37.56421753247278,8
convergent_diagonal,-27.89402290549544,37.632716970000324,9
convergent_diagonal,-27.962522343022982,37.701216407527866,10
convergent_diagonal,-28.031021780550528,37.769715845055416,11
convergent_diagonal,-28.09952121807807,37.83821528258296,12
convergent_diagonal,-28.168020655605613,37.9067147201105,13
convergent_diagonal,-28.23652009313316,37.97521415763804,14
convergent_diagonal,-28.3050195306607,38.043713595165585,15
convergent_diagonal,-28.373518968188243,38.11221303269313,16
convergent_diagonal,-28.44201840571579,38.180712470220676,17
convergent_diagonal,-28.51051784324333,38.24921190774822,18
convergent_diagonal,-28.579017280770874,38.31771134527576,19
convergent_diagonal,-28.64751671829842,38.3862107828033,20
convergent_diagonal,-28.71601615582596,38.454710220330846,21
convergent_diagonal,-28.784515593353504,38.52320965785839,22
convergent_diagonal,-28.85301503088105,38.59170909538594,23
